N;confidence;eps1;eps2;consensus_x;consensus_y;consensus_probabity;simulation_time;cluster_data;simulation_count
50.0;rectangle;0.15;0.15;0.0;0.0;0.0;0.0;;1000.0
50.0;rectangle;0.15;0.2;0.0;0.0;0.0;0.0;;1000.0
50.0;rectangle;0.15;0.25;0.0;0.0;0.0;0.0;;1000.0
50.0;rectangle;0.15;0.3;0.0;0.0;0.0;0.0;;1000.0
50.0;rectangle;0.15;0.35;0.0;0.0;0.0;0.0;;1000.0
50.0;rectangle;0.15;0.4;0.0;0.0;0.0;0.0;;1000.0
50.0;rectangle;0.15;0.45;0.5066268696281492;0.5071338804821509;1.0;25.0;;1000.0
50.0;rectangle;0.15;0.5;0.5181717177275348;0.4792720764676631;1.0;21.0;;1000.0
50.0;rectangle;0.15;0.55;0.0;0.0;0.0;0.0;;1000.0
50.0;rectangle;0.2;0.2;0.4191803873642362;0.5031996350755098;1.0;22.0;;1000.0
50.0;rectangle;0.2;0.25;2.648870346470781;2.510486926831579;5.0;61.0;;1000.0
50.0;rectangle;0.2;0.3;14.696732563228252;14.819583295415235;29.0;292.0;;1000.0
50.0;rectangle;0.2;0.35;22.435952385659743;23.218026435304907;46.0;469.0;;1000.0
50.0;rectangle;0.2;0.4;27.237760537790177;28.207339312981546;56.0;636.0;;1000.0
50.0;rectangle;0.2;0.45;30.880301473693336;31.015228458178985;61.0;617.0;;1000.0
50.0;rectangle;0.2;0.5;31.352299396467693;31.92852382903729;63.0;658.0;;1000.0
50.0;rectangle;0.2;0.55;28.39291795100105;28.07571004705908;56.0;554.0;;1000.0
50.0;rectangle;0.25;0.25;56.38827909219388;56.61712285821116;114.0;1053.0;;1000.0
50.0;rectangle;0.25;0.3;160.64850014999718;161.06696655003591;322.0;2888.0;;1000.0
50.0;rectangle;0.25;0.35;213.36110559554444;212.74120913379303;428.0;3474.0;;1000.0
50.0;rectangle;0.25;0.4;232.9589549492817;232.50796501818564;467.0;3822.0;;1000.0
50.0;rectangle;0.25;0.45;241.03213445211412;240.8094698913207;480.0;3893.0;;1000.0
50.0;rectangle;0.25;0.5;220.34497872215465;219.04234938484524;440.0;3583.0;;1000.0
50.0;rectangle;0.25;0.55;228.7120490965669;228.08835475236432;456.0;3855.0;;1000.0
50.0;rectangle;0.3;0.3;338.84240368173903;337.9676944988303;681.0;4929.0;;1000.0
50.0;rectangle;0.3;0.35;435.1794955938142;434.4447500433699;869.0;5593.0;;1000.0
